Iteración,Casilla_1,Casilla_2,Casilla_3,Casilla_4,Casilla_5,Casilla_6,Casilla_7,Casilla_8,Casilla_9,Casilla_10,Casilla_11,Casilla_12,Casilla_13,Casilla_14,Casilla_15,Casilla_16,Casilla_17,Casilla_18,Casilla_19,Casilla_20,Casilla_21,Casilla_22,Casilla_23,Casilla_24,Casilla_25,Casilla_26,Casilla_27,Casilla_28,Casilla_29,Casilla_30,Casilla_31,Casilla_32,Casilla_33,Casilla_34,Casilla_35,Casilla_36,Casilla_37,Casilla_38,Casilla_39,Casilla_40,Casilla_41,Casilla_42,Casilla_43,Casilla_44,Casilla_45,Casilla_46,Casilla_47,Casilla_48,Casilla_49,Casilla_50
0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
1,0.07,0.0,0.003333333333333333,0.006666666666666666,0.01,0.0,0.013333333333333332,0.013333333333333332,0.016666666666666666,0.05,0.07333333333333333,0.016666666666666666,0.0,0.016666666666666666,0.056666666666666664,0.0,0.05,0.0,0.0,0.009999999999999998,0.009999999999999998,0.043333333333333335,0.0,0.043333333333333335,0.04666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.05,0.02,0.02,0.02,0.02,0.02,0.0,0.05333333333333334,0.016666666666666666,0.016666666666666666,0.0,0.0,0.01,0.05333333333333334,0.013333333333333332,0.016666666666666666,0.0,0.02333333333333333,0.03,0.0,0.0
2,0.035,0.0,0.011666666666666667,0.012222222222222223,0.013333333333333334,0.0,0.015000000000000001,0.005555555555555555,0.007777777777777777,0.03333333333333333,0.04777777777777778,0.027777777777777776,0.0,0.028333333333333335,0.053888888888888896,0.0,0.049999999999999996,0.0,0.0,0.020555555555555556,0.019444444444444445,0.029444444444444447,0.0,0.025555555555555554,0.03333333333333333,0.025555555555555554,0.026666666666666665,0.027777777777777776,0.02333333333333333,0.04666666666666666,0.027222222222222224,0.02277777777777778,0.02333333333333333,0.02388888888888889,0.024444444444444442,0.0,0.052222222222222225,0.02222222222222222,0.021666666666666667,0.0,0.0,0.014444444444444446,0.04666666666666667,0.01611111111111111,0.018333333333333333,0.0,0.027222222222222224,0.03944444444444444,0.0,0.0
3,0.04092592592592593,0.0,0.005833333333333334,0.007777777777777778,0.009814814814814816,0.0,0.012037037037037039,0.008703703703703703,0.00962962962962963,0.035648148148148144,0.03824074074074074,0.018240740740740738,0.0,0.02037037037037037,0.05222222222222222,0.0,0.05092592592592592,0.0,0.0,0.022037037037037036,0.02074074074074074,0.03509259259259259,0.0,0.02361111111111111,0.03175925925925926,0.021388888888888888,0.02222222222222222,0.023425925925925926,0.023148148148148143,0.04907407407407406,0.03055555555555555,0.029537037037037035,0.02907407407407407,0.02851851851851852,0.027870370370370372,0.0,0.05212962962962963,0.024444444444444442,0.02435185185185185,0.0,0.0,0.01601851851851852,0.041296296296296296,0.0175,0.019537037037037037,0.0,0.029537037037037035,0.04675925925925926,0.0,0.0
4,0.04510802469135802,0.0,0.006820987654320988,0.00779320987654321,0.009089506172839507,0.0,0.010725308641975309,0.005910493827160494,0.007361111111111112,0.03162037037037037,0.04092592592592592,0.01737654320987654,0.0,0.018410493827160493,0.05279320987654321,0.0,0.047283950617283944,0.0,0.0,0.020586419753086418,0.020864197530864194,0.03708333333333333,0.0,0.023703703703703703,0.03263888888888889,0.02220679012345679,0.022098765432098766,0.02234567901234568,0.020401234567901234,0.04484567901234567,0.028503086419753083,0.028302469135802463,0.02966049382716049,0.030802469135802465,0.031651234567901226,0.0,0.05171296296296296,0.027854938271604936,0.02700617283950617,0.0,0.0,0.016820987654320985,0.0399074074074074,0.017685185185185186,0.019783950617283948,0.0,0.030493827160493824,0.051820987654320985,0.0,0.0
5,0.048135288065843614,0.0,0.007518004115226337,0.008654835390946502,0.009953703703703704,0.0,0.011468621399176955,0.005738168724279836,0.006723251028806584,0.029457304526748967,0.039272119341563785,0.016090534979423865,0.0,0.01719907407407407,0.05157664609053497,0.0,0.048199588477366245,0.0,0.0,0.019747942386831273,0.020110596707818926,0.037826646090534974,0.0,0.024557613168724277,0.03273919753086419,0.022479423868312753,0.022749485596707815,0.022955246913580245,0.02049897119341564,0.04364711934156379,0.027422839506172837,0.0267335390946502,0.027749485596707816,0.029009773662551436,0.03041923868312757,0.0,0.05167438271604937,0.028688271604938264,0.02861368312757201,0.0,0.0,0.01776234567901234,0.039552469135802466,0.018598251028806582,0.020200617283950617,0.0,0.030946502057613165,0.055329218106995884,0.0,0.0
6,0.04891332304526748,0.0,0.008022548010973934,0.009275548696844991,0.010718021262002742,0.0,0.012376971879286693,0.006265860768175583,0.007222222222222222,0.02926740397805212,0.03956018518518518,0.01544324417009602,0.0,0.016213563100137173,0.04895404663923182,0.0,0.0481275720164609,0.0,0.0,0.01949588477366255,0.019920696159122078,0.03790895061728394,0.0,0.025324502743484217,0.03305941358024691,0.02249699931412894,0.022952246227709187,0.023392061042524,0.020913494513031546,0.0438258744855967,0.02751157407407407,0.02662551440329218,0.027334533607681753,0.02816786694101509,0.029176954732510287,0.0,0.049155092592592584,0.0275977366255144,0.027923525377229075,0.0,0.0,0.018162722908093273,0.03924811385459533,0.01910279492455418,0.020787894375857336,0.0,0.031492198216735254,0.05806284293552812,0.0,0.0
7,0.04857781778692272,0.0,0.00815222050754458,0.009489311842706901,0.0110352366255144,0.0,0.012821573502514855,0.0067321816415180594,0.007776491769547323,0.02909950845907636,0.04003615112025605,0.0157821073388203,0.0,0.016293152720621852,0.048391489483310464,0.0,0.0481441472336534,0.0,0.0,0.018882530292638318,0.019429583904892543,0.03689957704618198,0.0,0.02570916209419295,0.03332526005944215,0.022618241312299947,0.023118427069044344,0.023623685413808868,0.021204203818015542,0.04357231652949245,0.02777334819387288,0.026848708276177406,0.02753679412437128,0.028267175354366708,0.02906314300411522,0.0,0.04804248113854595,0.026743327046181983,0.026905364083219016,0.0,0.0,0.017446059099222675,0.03882916095107452,0.018822016460905346,0.020870841906721532,0.0,0.031963020118884314,0.060174182670324636,0.0,0.0
8,0.04847525863054411,0.0,0.008096302964487118,0.009455006382411214,0.011036558356195698,0.0,0.012875764460448098,0.006916390413046788,0.008038420686633132,0.02941094869303459,0.03989977471040999,0.016077651082152106,0.0,0.016571073388203014,0.04867481614845297,0.0,0.048527020461819836,0.0,0.0,0.018804798239597617,0.019236361168267026,0.0362017627838744,0.0,0.025411046334400236,0.03281482195930498,0.02237435223289132,0.02299697073616826,0.02361177793019356,0.021399129324798042,0.04373796153406491,0.027910355700350546,0.026985037056089005,0.027690114883401916,0.02842650939262307,0.029200424382716042,0.0,0.04818192967916475,0.026626383649596092,0.02660882011126352,0.0,0.0,0.01694852871132449,0.03856420753315042,0.01832065186328303,0.020478907083523845,0.0,0.03197618979576283,0.06143797153635115,0.0,0.0
9,0.04854296458238072,0.0,0.008079209771757351,0.00942859359917187,0.011004427996240407,0.0,0.01284385438893969,0.006910605360590355,0.008063337096098152,0.029695450229893807,0.039920547315576885,0.016190216493928766,0.0,0.016723864264212768,0.048991378584946385,0.0,0.04866687385688155,0.0,0.0,0.018962151666412637,0.01933443914164507,0.036197622948737476,0.0,0.02521767475422953,0.032327710619570175,0.022078131747574038,0.02267305741312299,0.023299825674439865,0.02120149486549306,0.043730168086038704,0.027822502286236846,0.027005091243077775,0.02777353871361072,0.028555729404816328,0.02935818464855458,0.0,0.04847445090623887,0.02674733589899913,0.02668756033125031,0.0,0.0,0.016902855573337393,0.03859743536617892,0.018124656667555753,0.020153519217090885,0.0,0.03170681076309505,0.062006728522074867,0.0,0.0
