Casilla,Probabilidad
1,0.048562253110158125
2,0.0
3,0.00809370885168857
4,0.009442660326970618
5,0.011016437048133413
6,0.0
7,0.012852509889490483
8,0.006900886019385686
9,0.008051033689285269
10,0.029891315273363493
11,0.04020363578074809
12,0.016316563442053258
13,0.0
14,0.016893905700813085
15,0.04894804438016819
16,0.0
17,0.04892585114386527
18,0.0
19,0.0
20,0.019127966870800324
21,0.019500310399128133
22,0.0363932512409122
23,0.0
24,0.02535609797462003
25,0.032409094776726544
26,0.0221311202103663
27,0.022631645766968186
28,0.02315353499495031
29,0.020946915620635595
30,0.0435660350948815
31,0.027473057744124937
32,0.026650384905352525
33,0.027403595687845502
34,0.02819892067464951
35,0.02903981828791976
36,0.0
37,0.04850320697948541
38,0.026632654422512236
39,0.02662969934202804
40,0.0
41,0.0
42,0.01696092679063822
43,0.038823738604805653
44,0.01817450319330802
45,0.020117773586152153
46,0.0
47,0.031358980725020906
48,0.06271796145004442
49,0.0
50,0.0
