Casilla,Probabilidad
1,0.04856225311017845
2,0.0
3,0.008093708851696408
4,0.009442660326979144
5,0.011016437048142333
6,0.0
7,0.012852509889499389
8,0.006900886019386212
9,0.008051033689283912
10,0.029891315273356606
11,0.04020363578076456
12,0.016316563442048397
13,0.0
14,0.016893905700806615
15,0.04894804438013516
16,0.0
17,0.048925851143858654
18,0.0
19,0.0
20,0.019127966870800064
21,0.019500310399132317
22,0.036393251240949484
23,0.0
24,0.025356097974646365
25,0.03240909477676036
26,0.022131120210381428
27,0.022631645766978323
28,0.02315353499495266
29,0.020946915620619854
30,0.04356603509485656
31,0.02747305774409153
32,0.02665038490531339
33,0.02740359568780206
34,0.028198920674606016
35,0.02903981828788156
36,0.0
37,0.04850320697946767
38,0.026632654422511778
39,0.026629699342044844
40,0.0
41,0.0
42,0.01696092679067071
43,0.038823738604838995
44,0.018174503193344387
45,0.020117773586179784
46,0.0
47,0.031358980725011296
48,0.06271796145002258
49,0.0
50,0.0
